TradeDate,Currency,OptionType,Ticker,TradedStockPrice,NumOptions,Strike,ExpiryDate
02/01/2013,USD,CALL,FB,28,600,29,28/12/2013
02/01/2013,USD,PUT,AMZN,257.309998,770,261,28/12/2013
03/01/2013,USD,PUT,BA,77.470001,540,79,29/12/2013
04/01/2013,USD,CALL,AMZN,259.149994,930,247,04/04/2013
04/01/2013,USD,CALL,AAPL,75.285713,610,77,04/04/2013
04/01/2013,USD,CALL,XRX,18.735178,570,19,30/12/2013
07/01/2013,USD,PUT,MSFT,26.690001,80,27,02/01/2014
08/01/2013,USD,PUT,AMZN,266.380005,650,255,03/01/2014
09/01/2013,USD,CALL,MSFT,26.700001,630,25,04/01/2014
09/01/2013,USD,PUT,MSFT,26.700001,290,26,04/01/2014
09/01/2013,USD,CALL,MSFT,26.700001,460,25,08/07/2013
09/01/2013,USD,PUT,AAPL,73.871429,970,74,08/07/2013
09/01/2013,USD,PUT,MSFT,26.700001,450,27,09/04/2013
09/01/2013,USD,CALL,AMZN,266.350006,940,271,08/07/2013
09/01/2013,USD,PUT,MSFT,26.700001,350,27,08/07/2013
09/01/2013,USD,PUT,XRX,19.025032,290,18,09/04/2013
10/01/2013,USD,PUT,AMZN,265.339996,730,263,10/04/2013
10/01/2013,USD,PUT,AAPL,74.78714,240,77,09/07/2013
10/01/2013,USD,CALL,CHK,15.827814,200,15,10/04/2013
10/01/2013,USD,PUT,AMZN,265.339996,160,257,10/04/2013
10/01/2013,USD,PUT,MSFT,26.459999,430,27,05/01/2014
11/01/2013,USD,CALL,CHK,15.960265,930,15,06/01/2014
11/01/2013,USD,CALL,FB,31.719999,920,32,11/04/2013
11/01/2013,USD,CALL,CHK,15.960265,580,16,06/01/2014
11/01/2013,USD,CALL,CHK,15.960265,500,16,10/07/2013
11/01/2013,USD,PUT,AMZN,267.940002,100,276,11/04/2013
11/01/2013,USD,CALL,AMZN,267.940002,330,265,11/04/2013
14/01/2013,USD,CALL,FB,30.950001,50,30,09/01/2014
14/01/2013,USD,PUT,MSFT,26.889999,570,27,14/04/2013
14/01/2013,USD,PUT,XRX,19.499342,0,20,09/01/2014
14/01/2013,USD,PUT,FB,30.950001,100,31,13/07/2013
14/01/2013,USD,CALL,FB,30.950001,330,30,13/07/2013
14/01/2013,USD,PUT,AMZN,272.730011,220,278,09/01/2014
14/01/2013,USD,CALL,CHK,16.026489,160,15,09/01/2014
14/01/2013,USD,CALL,CHK,16.026489,580,15,09/01/2014
15/01/2013,USD,CALL,MSFT,27.209999,910,28,10/01/2014
15/01/2013,USD,CALL,BA,76.940002,760,80,10/01/2014
15/01/2013,USD,PUT,AMZN,271.899994,140,264,10/01/2014
15/01/2013,USD,CALL,MSFT,27.209999,60,27,15/04/2013
15/01/2013,USD,PUT,MSFT,27.209999,930,26,14/07/2013
15/01/2013,USD,CALL,MSFT,27.209999,610,26,10/01/2014
16/01/2013,USD,CALL,AAPL,72.298569,680,69,15/07/2013
16/01/2013,USD,PUT,AAPL,72.298569,500,72,11/01/2014
16/01/2013,USD,PUT,XRX,19.97365,360,20,16/04/2013
17/01/2013,USD,PUT,MSFT,27.25,820,25,12/01/2014
17/01/2013,USD,CALL,XRX,19.97365,780,19,16/07/2013
17/01/2013,USD,PUT,AMZN,270.480011,390,269,12/01/2014
17/01/2013,USD,PUT,AMZN,270.480011,790,262,17/04/2013
17/01/2013,USD,CALL,CHK,16.603596,320,16,12/01/2014
18/01/2013,USD,CALL,BA,75.040001,930,75,13/01/2014
18/01/2013,USD,PUT,AMZN,272.119995,360,271,18/04/2013
22/01/2013,USD,PUT,AAPL,72.110001,730,71,17/01/2014
22/01/2013,USD,CALL,AAPL,72.110001,250,71,22/04/2013
22/01/2013,USD,PUT,AAPL,72.110001,920,70,21/07/2013
22/01/2013,USD,CALL,CHK,17.719963,880,17,17/01/2014
22/01/2013,USD,PUT,XRX,19.841898,100,20,17/01/2014
23/01/2013,USD,CALL,AMZN,268.109985,440,257,23/04/2013
23/01/2013,USD,CALL,XRX,19.97365,10,19,22/07/2013
23/01/2013,USD,CALL,FB,30.82,570,31,22/07/2013
23/01/2013,USD,PUT,BA,74.290001,750,74,23/04/2013
23/01/2013,USD,CALL,AAPL,73.43,780,73,18/01/2014
23/01/2013,USD,CALL,CHK,17.502365,50,16,18/01/2014
23/01/2013,USD,PUT,CHK,17.502365,890,16,18/01/2014
23/01/2013,USD,PUT,BA,74.290001,680,70,22/07/2013
23/01/2013,USD,PUT,BA,74.290001,930,73,23/04/2013
25/01/2013,USD,PUT,AAPL,62.84,490,61,20/01/2014
25/01/2013,USD,CALL,BA,75.029999,720,73,25/04/2013
25/01/2013,USD,PUT,AMZN,283.98999,40,270,25/04/2013
28/01/2013,USD,PUT,XRX,21.68643,90,21,23/01/2014
28/01/2013,USD,PUT,FB,32.470001,640,34,28/04/2013
28/01/2013,USD,CALL,CHK,17.909178,270,18,23/01/2014
28/01/2013,USD,CALL,FB,32.470001,0,34,23/01/2014
28/01/2013,USD,PUT,CHK,17.909178,830,17,23/01/2014
28/01/2013,USD,CALL,XRX,21.68643,740,21,27/07/2013
29/01/2013,USD,PUT,AMZN,260.350006,310,264,29/04/2013
29/01/2013,USD,CALL,AAPL,65.46714,640,64,24/01/2014
29/01/2013,USD,PUT,BA,73.650002,700,73,28/07/2013
29/01/2013,USD,CALL,CHK,17.94702,140,17,28/07/2013
29/01/2013,USD,PUT,CHK,17.94702,460,18,24/01/2014
29/01/2013,USD,CALL,AAPL,65.46714,630,67,24/01/2014
29/01/2013,USD,CALL,AMZN,260.350006,780,251,24/01/2014
30/01/2013,USD,CALL,XRX,21.501976,70,20,30/04/2013
31/01/2013,USD,CALL,AMZN,265.5,300,267,30/07/2013
31/01/2013,USD,CALL,XRX,21.10672,90,20,26/01/2014
31/01/2013,USD,PUT,CHK,19.091768,80,18,26/01/2014
31/01/2013,USD,PUT,MSFT,27.450001,460,27,26/01/2014
31/01/2013,USD,PUT,CHK,19.091768,540,19,26/01/2014
31/01/2013,USD,CALL,BA,73.870003,930,77,30/07/2013
31/01/2013,USD,PUT,BA,73.870003,230,76,26/01/2014
01/02/2013,USD,CALL,BA,74.870003,100,72,31/07/2013
01/02/2013,USD,PUT,FB,29.73,680,28,02/05/2013
01/02/2013,USD,PUT,CHK,19.233681,570,19,02/05/2013
01/02/2013,USD,PUT,AAPL,64.802856,420,66,31/07/2013
04/02/2013,USD,CALL,XRX,20.922266,30,19,03/08/2013
04/02/2013,USD,CALL,MSFT,27.440001,570,26,30/01/2014
05/02/2013,USD,PUT,FB,28.639999,220,28,31/01/2014
05/02/2013,USD,PUT,MSFT,27.5,230,27,04/08/2013
06/02/2013,USD,CALL,AMZN,262.220001,930,262,05/08/2013
06/02/2013,USD,PUT,CHK,19.403973,830,19,07/05/2013
06/02/2013,USD,PUT,FB,29.049999,590,30,01/02/2014
07/02/2013,USD,CALL,BA,77.43,340,80,02/02/2014
07/02/2013,USD,PUT,AAPL,66.888573,260,64,08/05/2013
