TradeDate,Currency,Ticker,OptionType,TradedStockPrice,NumOptions,Strike,ExpiryDate
2013-01-02,USD,CALL,FB,28.0,600,29,2013-12-28
2013-01-02,USD,PUT,AMZN,257.309998,770,261,2013-12-28
2013-01-03,USD,PUT,BA,77.470001,540,79,2013-12-29
2013-01-04,USD,CALL,AMZN,259.149994,930,247,2013-04-04
2013-01-04,USD,CALL,AAPL,75.285713,610,77,2013-04-04
2013-01-04,USD,CALL,XRX,18.735178,570,19,2013-12-30
2013-01-07,USD,PUT,MSFT,26.690001000000002,80,27,2014-01-02
2013-01-08,USD,PUT,AMZN,266.380005,650,255,2014-01-03
2013-01-09,USD,CALL,MSFT,26.700001,630,25,2014-01-04
2013-01-09,USD,PUT,MSFT,26.700001,290,26,2014-01-04
2013-01-09,USD,CALL,MSFT,26.700001,460,25,2013-07-08
2013-01-09,USD,PUT,AAPL,73.871429,970,74,2013-07-08
2013-01-09,USD,PUT,MSFT,26.700001,450,27,2013-04-09
2013-01-09,USD,CALL,AMZN,266.350006,940,271,2013-07-08
2013-01-09,USD,PUT,MSFT,26.700001,350,27,2013-07-08
2013-01-09,USD,PUT,XRX,19.025032,290,18,2013-04-09
2013-01-10,USD,PUT,AMZN,265.339996,730,263,2013-04-10
2013-01-10,USD,PUT,AAPL,74.78714000000001,240,77,2013-07-09
2013-01-10,USD,CALL,CHK,15.827814000000002,200,15,2013-04-10
2013-01-10,USD,PUT,AMZN,265.339996,160,257,2013-04-10
2013-01-10,USD,PUT,MSFT,26.459999,430,27,2014-01-05
2013-01-11,USD,CALL,CHK,15.960265,930,15,2014-01-06
2013-01-11,USD,CALL,FB,31.719998999999998,920,32,2013-04-11
2013-01-11,USD,CALL,CHK,15.960265,580,16,2014-01-06
2013-01-11,USD,CALL,CHK,15.960265,500,16,2013-07-10
2013-01-11,USD,PUT,AMZN,267.940002,100,276,2013-04-11
2013-01-11,USD,CALL,AMZN,267.940002,330,265,2013-04-11
2013-01-14,USD,CALL,FB,30.950001,50,30,2014-01-09
2013-01-14,USD,PUT,MSFT,26.889999,570,27,2013-04-14
2013-01-14,USD,PUT,XRX,19.499342000000002,0,20,2014-01-09
