,TradeDate,Currency,OptionType,Ticker,TradedStockPrice,NumOptions,Strike,ExpiryDate
0,02/01/2013,USD,CALL,FB,28.0,600,29,28/12/2013
1,02/01/2013,USD,PUT,AMZN,257.309998,770,261,28/12/2013
2,03/01/2013,USD,PUT,BA,77.470001,540,79,29/12/2013
3,04/01/2013,USD,CALL,AMZN,259.149994,930,247,04/04/2013
4,04/01/2013,USD,CALL,AAPL,75.285713,610,77,04/04/2013
5,04/01/2013,USD,CALL,XRX,18.735178,570,19,30/12/2013
6,07/01/2013,USD,PUT,MSFT,26.690001,80,27,02/01/2014
7,08/01/2013,USD,PUT,AMZN,266.380005,650,255,03/01/2014
8,09/01/2013,USD,CALL,MSFT,26.700001,630,25,04/01/2014
9,09/01/2013,USD,PUT,MSFT,26.700001,290,26,04/01/2014
10,09/01/2013,USD,CALL,MSFT,26.700001,460,25,08/07/2013
11,09/01/2013,USD,PUT,AAPL,73.871429,970,74,08/07/2013
12,09/01/2013,USD,PUT,MSFT,26.700001,450,27,09/04/2013
13,09/01/2013,USD,CALL,AMZN,266.350006,940,271,08/07/2013
14,09/01/2013,USD,PUT,MSFT,26.700001,350,27,08/07/2013
15,09/01/2013,USD,PUT,XRX,19.025032,290,18,09/04/2013
16,10/01/2013,USD,PUT,AMZN,265.339996,730,263,10/04/2013
17,10/01/2013,USD,PUT,AAPL,74.78714,240,77,09/07/2013
18,10/01/2013,USD,CALL,CHK,15.827814,200,15,10/04/2013
19,10/01/2013,USD,PUT,AMZN,265.339996,160,257,10/04/2013
20,10/01/2013,USD,PUT,MSFT,26.459999,430,27,05/01/2014
21,11/01/2013,USD,CALL,CHK,15.960265,930,15,06/01/2014
22,11/01/2013,USD,CALL,FB,31.719999,920,32,11/04/2013
23,11/01/2013,USD,CALL,CHK,15.960265,580,16,06/01/2014
24,11/01/2013,USD,CALL,CHK,15.960265,500,16,10/07/2013
25,11/01/2013,USD,PUT,AMZN,267.940002,100,276,11/04/2013
26,11/01/2013,USD,CALL,AMZN,267.940002,330,265,11/04/2013
27,14/01/2013,USD,CALL,FB,30.950001,50,30,09/01/2014
28,14/01/2013,USD,PUT,MSFT,26.889999,570,27,14/04/2013
29,14/01/2013,USD,PUT,XRX,19.499342,0,20,09/01/2014
30,14/01/2013,USD,PUT,FB,30.950001,100,31,13/07/2013
31,14/01/2013,USD,CALL,FB,30.950001,330,30,13/07/2013
32,14/01/2013,USD,PUT,AMZN,272.730011,220,278,09/01/2014
